ID,CH1903_X,CH1903_Y,UTM32_X,UTM32_Y
24FER1,608812,99007,388001.32068300253,5099792.8041618625
24FER2,608939,99367,388135.3115070679,5100150.1065968955
24FER3,608917,99965,388125.05803481955,5100748.197093818
24FER4,608578,100927,387805.12873623054,5101716.302940038
